field_name,field_name_aliases,data_model_entity,definition,nullable,permissible_values,data_type,data_example,character_maximum_length,column_default,foreign_key_table_id
id,,,,NO,,integer,,,nextval('lims_locally_unique_id_seq'::regclass),
operator_notes,,,,YES,,text,,,,
time_sacrificed,,,,YES,,timestamp without time zone,,,,
cell_prep_template_id,,,,YES,,integer,,,,task_templates
created_at,,,,NO,,timestamp without time zone,,,,
updated_at,,,,NO,,timestamp without time zone,,,,
facs_id,,,,YES,,integer,,,,facs
instructions,,,,YES,,text,,,,
tcp_sop_id,,,,YES,,integer,,,,tcp_sops
facs_template_id,,,,YES,,integer,,,,task_templates
estimated_duration_h,,,,YES,,integer,,,,
sample_pooling_instructions,,,,YES,,character varying,,255.0,,
