field_name,field_name_aliases,data_model_entity,definition,nullable,permissible_values,data_type,data_example,character_maximum_length,column_default,foreign_key_table_id
id,,,,YES,,integer,,,,
name,,,,YES,,character varying,,255.0,,
created_at,,,,YES,,timestamp without time zone,,,,
updated_at,,,,YES,,timestamp without time zone,,,,
entrez_id,,,,YES,,character varying,,32.0,,
gene_symbol,,,,YES,,character varying,,255.0,,
chromosome,,,,YES,,character varying,,255.0,,
organism,,,,YES,,character varying,,255.0,,
homologene_id,,,,YES,,integer,,,,
project_code,,,,YES,,character varying,,255.0,,
organism_id,,,,YES,,integer,,,,
chromosome_id,,,,YES,,integer,,,,
