field_name,field_name_aliases,data_model_entity,definition,nullable,permissible_values,data_type,data_example,character_maximum_length,column_default,foreign_key_table_id
ontology_id,,,,YES,,integer,,,,
graph_id,,,,YES,,integer,,,,
depth,,,,YES,,integer,,,,
graph_order,,,,YES,,integer,,,,
id,,,,YES,,integer,,,,
path,,,,YES,,ARRAY,,,,
acronym_path,,,,YES,,ARRAY,,,,
parent_id,,,,YES,,integer,,,,
atlas_id,,,,YES,,integer,,,,
name,,,,YES,,character varying,,255.0,,
acronym,,,,YES,,character varying,,255.0,,
red,,,,YES,,integer,,,,
green,,,,YES,,integer,,,,
blue,,,,YES,,integer,,,,
sibling_order,,,,YES,,integer,,,,
st_level,,,,YES,,integer,,,,
hemisphere_id,,,,YES,,integer,,,,
acronym_with_hemisphere,,,,YES,,character varying,,255.0,,
