field_name,field_name_aliases,data_model_entity,definition,nullable,permissible_values,data_type,data_example,character_maximum_length,column_default,foreign_key_table_id
id,,,,NO,,integer,,,nextval('lims_locally_unique_id_seq'::regclass),
name,,,,NO,,character varying,,255.0,,
created_at,,,,NO,,timestamp without time zone,,,('now'::text)::date,
updated_at,,,,NO,,timestamp without time zone,,,('now'::text)::date,
omim_id,,,,YES,,character varying,,255.0,,
genotype_type_id,,,,YES,,integer,,,,genotype_types
stock_number,,,,YES,,character varying,,255.0,,
transgenic_line_source_id,,,,YES,,integer,,,,transgenic_line_sources
originating_lab_id,,,,YES,,integer,,,,originating_labs
description,,,,YES,,text,,,,
