field_name,field_name_aliases,data_model_entity,definition,nullable,permissible_values,data_type,data_example,character_maximum_length,column_default,foreign_key_table_id
id,,,,NO,,integer,,,nextval('lims_locally_unique_id_seq'::regclass),
name,,,,NO,,character varying,,,,
roi,,,,YES,,character varying,,,,
probes_id,,,,NO,,character varying,,,,
type,,,,YES,,character varying,,,,
cancelled,,,,YES,,boolean,,,FALSE,
production,,,,YES,,boolean,,,TRUE,
project_id,,,,YES,,integer,,,,projects
imaging_kit_id,,,,YES,,integer,,,,imaging_kits
merscope_experiment_plan_id,,,,YES,,integer,,,,merscope_plans
parent_specimen_id,,,,YES,,integer,,,,specimens
storage_directory,,,,YES,,character varying,,,,
created_at,,,,NO,,timestamp without time zone,,,,
updated_at,,,,NO,,timestamp without time zone,,,,
