field_name,field_name_aliases,data_model_entity,definition,nullable,permissible_values,data_type,data_example,character_maximum_length,column_default,foreign_key_table_id
id,,,,NO,,integer,,,nextval('lims_locally_unique_id_seq'::regclass),
comment,,,,YES,,text,,,,
seqid,,,,YES,,character varying,,255.0,,
source,,,,YES,,character varying,,255.0,,
feature,,,,YES,,character varying,,255.0,,
start,,,,YES,,integer,,,,
stop,,,,YES,,integer,,,,
score,,,,YES,,double precision,,,,
strand,,,,YES,,character varying,,255.0,,
phase,,,,YES,,integer,,,,
attr_id,,,,YES,,character varying,,255.0,,
attr_dbxref_taxon,,,,YES,,text,,,,
attr_dbxref_geneid,,,,YES,,text,,,,
attr_dbxref_genbank,,,,YES,,text,,,,
attr_dbxref_unists,,,,YES,,text,,,,
attr_dbxref_hgnc,,,,YES,,text,,,,
attr_dbxref_ccds,,,,YES,,text,,,,
attr_dbxref_mim,,,,YES,,text,,,,
attr_dbxref_mirbase,,,,YES,,text,,,,
attr_dbxref_embl,,,,YES,,text,,,,
attr_dbxref_rfam,,,,YES,,text,,,,
attr_dbxref_imgt_gene_db,,,,YES,,text,,,,
attr_dbxref_imgt_ligm,,,,YES,,text,,,,
attr_dbxref_uniprotkb_trembl,,,,YES,,text,,,,
attr_dbxref_uniprotkb_swiss_prot,,,,YES,,text,,,,
attr_chromosome,,,,YES,,text,,,,
attr_gbkey,,,,YES,,text,,,,
attr_genome,,,,YES,,text,,,,
attr_mol_type,,,,YES,,text,,,,
attr_name,,,,YES,,text,,,,
attr_gene,,,,YES,,text,,,,
attr_parent,,,,YES,,text,,,,
attr_product,,,,YES,,text,,,,
attr_transcript_id,,,,YES,,text,,,,
attr_description,,,,YES,,text,,,,
attr_pseudo,,,,YES,,text,,,,
attr_protein_id,,,,YES,,text,,,,
attr_exception,,,,YES,,text,,,,
attr_partial,,,,YES,,text,,,,
attr_exon_number,,,,YES,,text,,,,
attr_note,,,,YES,,text,,,,
attr_transl_except,,,,YES,,text,,,,
attr_gene_synonym,,,,YES,,text,,,,
attr_anticodon,,,,YES,,text,,,,
attr_target,,,,YES,,text,,,,
attr_gap,,,,YES,,text,,,,
