field_name,field_name_aliases,data_model_entity,definition,nullable,permissible_values,data_type,data_example,character_maximum_length,column_default,foreign_key_table_id
id,,,,NO,,integer,,,nextval('lims_locally_unique_id_seq'::regclass),
atlas_id,,,,YES,,integer,,,,
name,,,,YES,,character varying,,255.0,,
acronym,,,,YES,,character varying,,255.0,,
red,,,,YES,,integer,,,0,
green,,,,YES,,integer,,,0,
blue,,,,YES,,integer,,,0,
st_order,,,,YES,,integer,,,,
st_level,,,,YES,,integer,,,,
ontology_id,,,,YES,,integer,,,,ontologies
hemisphere_id,,,,NO,,integer,,,,hemispheres
sibling_order,,,,NO,,integer,,,0,
created_at,,,,YES,,timestamp without time zone,,,,
updated_at,,,,YES,,timestamp without time zone,,,,
