field_name,field_name_aliases,data_model_entity,definition,nullable,permissible_values,data_type,data_example,character_maximum_length,column_default,foreign_key_table_id
id,,,,NO,,integer,,,nextval('lims_locally_unique_id_seq'::regclass),
image_id,,,,NO,,integer,,,,images
row,,,,NO,,integer,,,,
x,,,,NO,,integer,,,,
y,,,,NO,,integer,,,,
width,,,,NO,,integer,,,,
height,,,,NO,,integer,,,,
created_at,,,,NO,,timestamp without time zone,,,('now'::text)::date,
updated_at,,,,NO,,timestamp without time zone,,,('now'::text)::date,
image_series_id,,,,YES,,integer,,,,image_series
failed,,,,NO,,boolean,,,FALSE,
specimen_id,,,,YES,,integer,,,,specimens
sub_image_qcstate_reason_id,,,,YES,,integer,,,1,sub_image_qcstate_reasons
qc_date,,,,YES,,timestamp without time zone,,,,
expression,,,,YES,,boolean,,,,
structure_id,,,,YES,,integer,,,,structures
col,,,,YES,,integer,,,,
specimen_tissue_index,,,,YES,,integer,,,,
closest_nissl_sub_image_id,,,,YES,,integer,,,,sub_images
area,,,,YES,,integer,,,,
image_series_sub_image_index,,,,YES,,integer,,,0,
alignment2d_id,,,,YES,,integer,,,,alignment2ds
sub_image_type_id,,,,NO,,integer,,,,sub_image_types
bounding_box_index,,,,NO,,integer,,,0,
lims1_id,,,,YES,,integer,,,,
svg_upload_msg,,,,YES,,text,,,,
