field_name,field_name_aliases,data_model_entity,definition,nullable,permissible_values,data_type,data_example,character_maximum_length,column_default,foreign_key_table_id
id,,,,NO,,integer,,,nextval('lims_locally_unique_id_seq'::regclass),
type,,,,YES,,character varying,,255.0,,
name,,,,YES,,character varying,,255.0,,
coordinates_ap,,,,YES,,double precision,,,,
coordinates_ml,,,,YES,,double precision,,,,
registration_point_id,,,,YES,,integer,,,,registration_points
instructions,,,,YES,,text,,,,
diameter_mm,,,,YES,,integer,,,,
surgery_orientation_id,,,,YES,,integer,,,,surgery_orientations
created_at,,,,NO,,timestamp without time zone,,,,
updated_at,,,,NO,,timestamp without time zone,,,,
section_thickness_um,,,,YES,,integer,,,,
ephys_neural_tissue_template_id,,,,YES,,integer,,,,task_templates
plane_of_section_id,,,,YES,,integer,,,,plane_of_sections
flow_analysis_only,,,,YES,,boolean,,,,
estimated_duration_h,,,,YES,,integer,,,,
fluorescent_parameters,,,,YES,,character varying,,255.0,,
is_alive,,,,YES,,boolean,,,,
is_not_infectious,,,,YES,,boolean,,,,
is_not_biohazard,,,,YES,,boolean,,,,
facs_sop_id,,,,YES,,integer,,,,facs_sops
facs_resource_id,,,,YES,,integer,,,,facs_resources
facs_template_id,,,,YES,,integer,,,,task_templates
tcp_sop_id,,,,YES,,integer,,,,tcp_sops
cultured_cell_id,,,,YES,,integer,,,,cultured_cells
cell_prep_dissection_template_id,,,,YES,,integer,,,,task_templates
sample_pooling_instructions,,,,YES,,character varying,,255.0,,
treatment_id,,,,YES,,integer,,,,treatments
archived,,,,YES,,boolean,,,FALSE,
data,,,,YES,,jsonb,,,,
notes,,,,YES,,text,,,,
specimen_id,,,,YES,,integer,,,,specimens
project_id,,,,YES,,integer,,,,projects
task_instance_id,,,,YES,,integer,,,,
task_instance_type,,,,YES,,text,,,,
injection_material_id,,,,YES,,integer,,,,injection_materials
workflow_state,,,,YES,,character varying,,,,
apical_dendrite_state_id,,,,YES,,integer,,,,apical_dendrite_states
dendrite_type_id,,,,YES,,integer,,,,dendrite_types
child_specimens,,,,YES,,integer,,,,
set_default_plan,,,,YES,,boolean,,,FALSE,
rig,,,,YES,,character varying,,255.0,,
angle_deg,,,,YES,,integer,,,,
